name,cei_2021,cei_2020
Darden Restaurants Inc.,90,90
Davis Polk & Wardwell LLP,100,95
Davis Wright Tremaine LLP,100,100
Day & Zimmermann LLC,95,95
Day Pitney LLP,100,100
DCP Midstream Partners,20,20
Dean Foods Co.,0,20
Debevoise & Plimpton LLP,100,85
Dechert LLP,100,100
Deere & Co.,90,90
Delek US Holdings,60,20
Dell Technologies Inc.,100,100
Deloitte LLP,100,100
Delta Air Lines Inc.,85,85
Deluxe Corp.,85,45
Denny's Corp.,90,75
Dentons US LLP,100,100
"Depository Trust & Clearing Corp., The",100,100
Designer Brands,100,100
Deutsche Bank,100,100
Devon Energy Corp.,65,65
Diageo North America,100,100
Dickinson Wright PLLC,100,100
Dick's Sporting Goods Inc.,90,80
Digitas,100,100
Dillard's Inc.,20,20
Dinsmore & Shohl LLP,90,90
Direct Energy,90,90
Discover Financial Services,100,100
Discovery Communications Inc.,20,20
DISH Network Corp.,10,20
DLA Piper,100,100
Dole Food Co. Inc.,30,30
Dollar General Corp.,90,90
Dominion Energy,100,100
Domino's Pizza Inc.,75,65
Dorsey & Whitney LLP,100,100
Dover Corp.,20,0
Dow,100,100
DR Horton Inc.,20,20
Dropbox Inc.,100,100
DTE Energy Co.,75,75
Duane Morris LLP,100,100
Duff & Phelps,85,
Duke Energy Corp.,100,100
"Dun & Bradstreet Corp., The",100,100
Dunkin' Brands Group Inc.,100,100
DXC Technology,60,60
Dykema Gossett PLLC,100,100
E&J Gallo Winery,100,100
E. I. du Pont de Nemours and Co. (DuPont),100,100
EAB,100,100
"Eastern Bank Corporation/Eastern Bankshares, Inc.",100,100
Eastman Chemical Co.,100,90
Eastman Kodak Co.,100,100
Eaton Corp.,100,100
Eaton Vance,100,100
eBay Inc.,100,100
Ecolab Inc.,100,100
Edison International,100,100
Edward Jones,100,100
Egon Zehnder International Inc.,100,
Electronic Arts Inc.,100,100
Eli Lilly & Co.,100,100
EMCOR Group Inc.,20,20
"EMD Serono, MilliporeSigma, and EMD Performance Materials",100,90
Emerson Electric Co.,100,95
Emmis Communications Corporation,50,50
Empower Retirement,85,85
Enbridge,100,100
Encova Insurance,80,80
Energy Transfer Equity L.P.,20,20
ENGIE North America,90,
EnLink Midstream,0,0
Entergy Corp.,90,85
Enterprise Community Partners,85,
Enterprise Holdings Inc.,95,95
Enterprise Products Partners LP,10,0
EOG Resources,20,20
Epsilon Data Management LLC,100,100
Epstein Becker & Green PC,90,80
EQT Corporation,95,95
Equinix,90,
Ericsson Inc,100,100
Erie Insurance Group,90,90
Ernst & Young LLP,100,100
Essendant,70,10
"Estée Lauder Companies Inc., The",100,100
Esurance Inc.,75,75
Ethan Allen Interiors Inc.,75,75
Etsy Inc.,100,100
Eurofins Scientific,60,
Eversheds Sutherland (US) LLP,100,100
Eversource Energy,85,85
Evolent Health Inc.,100,95
Excellus Health Plan Inc.,90,90
Exelon Corp.,100,100
Expedia Group,100,100
Expeditors International of Washington Inc.,20,20
Experian North America,100,100
Exxon Mobil Corp.,85,85
Facebook Inc.,100,100
FactSet Research Systems Inc.,100,100
Faegre Drinker Biddle & Reath LLP,100,100
Farmers Insurance Group,100,100
FCA US LLC,90,90
Federal Home Loan Mortgage Corp. (Freddie Mac),100,100
Federal National Mortgage Association (Fannie Mae),100,100
Federal Reserve Bank of Atlanta,100,100
Federal Reserve Bank of Boston,100,100
Federal Reserve Bank of Chicago,100,100
Federal Reserve Bank of Cleveland,100,100
Federal Reserve Bank of Dallas,85,
Federal Reserve Bank of Kansas City,100,95
Federal Reserve Bank of Minneapolis,100,100
Federal Reserve Bank of New York,100,100
Federal Reserve Bank of Philadelphia,100,100
Federal Reserve Bank of Richmond,100,100
Federal Reserve Bank of San Francisco,100,100
Federal Reserve Bank of St Louis,100,100
FedEx Corp.,85,85
Fenwick & West LLP,100,100
Fidelity Investments,85,85
Fidelity National Financial Corp.,20,20
Fidelity National Information Services Inc.,100,100
Fifth Third Bancorp,100,100
Financial Industry Regulatory Authority Inc.,100,100
"Finnegan, Henderson, Farabow, Garrett & Dunner LLP",100,100
Firmenich Inc.,80,80
First American Financial Corp.,100,100
First Horizon National Corp.,75,75
FirstEnergy Corp.,90,80
Fiserv Inc.,100,20
Fish & Richardson PC,100,100
Fisher & Phillips LLP,100,70
Fitch Group Inc,100,
Flagstar Bancorp Inc.,80,
Fleishman-Hillard Inc.,100,100
Fluor Corp.,60,60
FMC Corp.,100,100
Foley & Lardner LLP,100,100
Foley Hoag LLP,100,100
"Food Lion, LLC",100,100
Ford Motor Co.,80,90
Fortive Corp.,100,100
Fossil Group Inc.,100,100
Fox Corporation,100,100
Fox Rothschild LLP,100,100
Franklin Templeton Investments,100,100
Fredrikson & Byron,100,100
Freeport-McMoRan Copper & Gold Inc.,20,20
"Fried, Frank, Harris, Shriver & Jacobson LLP",100,100
Frontier Communications,20,20
Frost Brown Todd LLC,100,100
"Fujitsu America, Inc.",100,100
"Galloway, Johnson, Tompkins, Burr & Smith PLC",90,100
GameStop Corp.,100,100
Gannett Co. Inc.,100,100
Gap Inc.,100,100
Gartner Inc.,100,100
Gastronomy Inc.,30,30
GE Appliances,100,100
Genentech Inc.,100,100
General Dynamics Corp.,60,60
General Electric Co.,90,90
General Mills Inc.,100,100
General Motors Co.,90,90
Genesco Inc.,100,100
Genuine Parts Co.,20,20
Genworth Financial Inc.,100,100
Gerson Lehrman Group Inc,100,
"GIANT Company, The",100,100
Giant Eagle Inc.,100,90
Giant of Maryland LLC,100,100
"Gibson, Dunn & Crutcher LLP",100,100
Gilead Sciences Inc.,100,100
"GlassBridge Enterprises, Inc.",30,30
GlaxoSmithKline LLC,100,100
Global Partners,20,20
Global Payments Inc.,100,100
GODADDY Inc.,100,100
"Goldman Sachs Group Inc., The",100,100
Goodwin Procter LLP,100,100
Goodyear Tire & Rubber Co.,90,90
Google Inc.,100,100
"Gordon Rees Scully Mansukhani, LLP",100,100
Goulston & Storrs,100,100
Grant Thornton LLP,100,100
Graphic Packaging Corp.,20,
Graybar Electric Company Inc.,20,20
Great River Energy,100,90
Greenberg Traurig LLP,100,100
Group 1 Automotive,10,20
Groupon Inc.,100,100
"Guardian Life Insurance Co. of America, The",100,100
Guess? Inc.,90,90
Guidehouse,100,100
H&R Block Inc.,100,100
Hachette Book Group,90,30
"Hain Celestial Group Inc., The",80,80
Halliburton Co.,20,20
Hallmark Cards Inc.,100,100
Hanesbrands Inc.,90,75
Hannaford Supermarkets,100,100
"Hanover Insurance Group Inc., The",100,100
Harley-Davidson Inc.,90,90
"Hartford Financial Services Group Inc., The",100,100
Harvard Pilgrim Health Care Inc.,100,100
Hasbro Inc.,100,100
Haven Behavioral Healthcare,100,100
Hawaiian Airlines Inc.,80,85
Haynes and Boone LLP,100,100
HCA Healthcare Inc.,85,70
HD Supply,20,20
Health Care Service Corp.,100,100
Henry Schein Inc.,100,100
HERE North America LLC,100,100
Herman Miller Inc.,100,100
Herrick Feinstein LLP,80,85
"Hershey Co., The",100,100
Hertz Global Holdings Inc.,100,100
Hess Corp.,85,85
Hewlett Packard Enterprise Co.,100,100
Highmark Blue Cross Blue Shield Delaware,100,100
Highmark Inc.,100,100
Highmark West Virginia,100,100
Hilti Inc.,100,90
HILTON,100,100
Hinshaw & Culbertson LLP,100,100
Hiscox USA,95,95
Hitachi Vantara,95,90
Hogan Lovells US LLP,100,100
Holland & Hart LLP,100,100
Holland & Knight LLP,100,100
HollyFrontier Corp.,20,20
"Home Depot Inc., The",90,90
Honeywell International Inc.,60,60
Horizon Blue Cross Blue Shield of New Jersey,100,100
Horizon Media Inc.,75,
Hormel Foods Corp.,95,95
Host Hotels & Resorts Inc.,80,80
Houghton Mifflin Harcourt Co.,95,85
Howard & Howard Attorneys PLLC,60,60
HP Inc.,100,100
HSBC USA,100,100
Hughes Hubbard & Reed LLP,90,90
Humana Inc.,100,100
Huntington Bancshares Inc.,100,100
Huntington Ingalls Industries,90,90
Hunton Andrews Kurth LLP,100,95
Huntsman Corp.,40,40
Huron Consulting Group Inc.,100,100
Husch Blackwell LLP,100,100
Hyatt Hotels Corp.,100,100
Hyland Software Inc.,75,
Hyundai Motor America,100,100
IAC/InterActiveCorp.,100,100
IBM Corp.,100,100
Icahn Enterprises LP,0,0
Ice Miller LLP,100,100
iHeartMedia Inc.,95,95
IHS Markit Ltd.,100,100
IKEA Holding US Inc.,100,100
Illinois Tool Works Inc.,80,60
Illumina,100,100
Impossible Foods,100,
Indeed Inc.,100,100
Informa PLC,90,90
Information Resources Inc.,100,100
Infosys Limited Inc.,95,85
Ingersoll-Rand Company,90,90
Ingram Micro,100,100
Ingredion Inc.,95,70
Insight Enterprises Inc.,95,70
Instacart,100,85
Intel Corp.,100,100
Intercontinental Exchange,20,20
InterContinental Hotels Group Americas,100,100
International Flavors & Fragrances,100,100
International Paper Co.,30,30
Interpublic Group of Companies Inc.,100,100
INTL FCStone Inc.,20,20
Intrado,100,85
Intuit Inc.,100,100
Invesco Ltd.,100,85
IQVIA Holdings,20,
Iron Mountain Inc.,100,100
"J. Crew Group, LLC",100,100
J. M. Smucker Co.,80,55
J.B. Hunt Transport,70,20
J.C. Penney Co. Inc.,90,80
Jabil Circuit Inc.,20,20
Jackson Lewis PC,100,95
Jackson Walker LLP,75,75
Jacobs Engineering Group Inc.,100,100
Janus Henderson Investors,100,100
Jefferies Group,20,
Jenner & Block LLP,100,100
JetBlue Airways Corp.,90,90
JLL,100,100
John Hancock Financial Services Inc.,100,100
John Wiley & Sons Inc.,100,85
Johnson & Johnson,100,100
Johnson Controls Inc.,90,90
Johnson Financial Group,70,
JPMorgan Chase & Co.,100,100
JSX,100,100
K&L Gates LLP,100,100
Kaiser Permanente,100,100
Kantar LLC,90,
Katten Muchin Rosenman LLP,100,100
KB Home,30,30
Kearney,100,100
Kelley Drye & Warren LLP,100,100
Kellogg Co.,100,100
Kelly Services Inc.,100,100
Kenneth Cole Productions Inc.,90,90
Kering Americas Inc.,100,90
Keurig Dr Pepper Inc.,100,70
KeyCorp,100,100
Kilpatrick Townsend & Stockton LLP,100,100
Kimberly-Clark Corp.,90,90
Kimpton Hotel & Restaurant Group LLC,100,100
Kinder Morgan Inc.,20,20
Kindred Healthcare,90,70
King & Spalding LLP,100,100
Kirkland & Ellis LLP,100,100
KKR & Co. LP,100,100
KLA Corporation,30,30
"Knot Worldwide, The",100,100
Kobre & Kim,100,100
Kohler Co.,90,90
Kohl's Corp.,100,100
Komatsu Mining Corp.,90,80
Korn Ferry,100,100
KPMG LLP,100,100
"Kraft Heinz Company, The",100,100
Kramer Levin Naftalis & Frankel LLP,85,85
"Kroger Co., The",100,100
Kutak Rock LLP,100,100
L Brands Inc.,100,100
L.L. Bean Inc.,90,50
L3 Harris Technologies,100,100
Laboratory Corporation of America Holdings,100,100
"Laclede Group Inc., The",60,60
Lam Research Corp.,100,100
Land O'Lakes Inc.,90,90
Lane Powell PC,100,100
Las Vegas Sands Corp.,85,0
Latham & Watkins LLP,100,100
Lathrop GPM,95,95
Lear Corp.,90,90
LeClairRyan,95,95
Leidos Holdings,100,100
LendingClub,85,
Lendlease Americas Inc.,100,100
Lennar Corp.,20,20
LENOVO (UNITED STATES) INC.,100,100
Leo Burnett Company Inc.,100,100
Levi Strauss & Co.,100,100
LexisNexis Legal & Professional,100,95
Lexmark International Inc.,100,100
Liberty Media Corp.,0,
Liberty Mutual Group,100,100
Lincoln National Corp.,100,100
Linde,90,90
LinkedIn,100,100
Lions Gate Entertainment Corp.,100,100
"Lithia Motors, Inc.",20,0
Littler Mendelson PC,100,100
Live Nation Entertainment Inc.,100,100
Livongo,90,
LKQ Corp.,20,0
Locke Lord LLP,100,100
Lockheed Martin Corp.,100,100
Loeb & Loeb LLP,100,100
Loews Corp.,55,55
"Lord, Abbett & Co. LLC",100,80
L'Oreal USA Inc.,100,100
Lowenstein Sandler LLP,100,100
Lowe's Companies Inc.,100,100
LPL Financial Holdings Inc.,100,100
Lubrizol Corp.,90,90
Lumen Technologies,100,100
Lyft Inc.,100,100
M&T Bank Corp.,100,100
Macmillan Learning,100,100
Macmillan Publishing Group,100,100
Macquarie Group Ltd.,100,100
Macy's Inc.,100,100
Magellan Health Services Inc.,20,0
Mallinckrodt LLC,100,100
"Manatt, Phelps & Phillips LLP",100,100
ManpowerGroup,100,100
Marathon Oil Corp.,60,60
Marathon Petroleum Corp.,100,100
Markel Corporation,20,0
Marriott International Inc.,100,100
Mars Inc.,100,90
Marsh & McLennan Companies Inc.,100,100
Masco Corp.,80,80
Massachusetts Mutual Life Insurance Co.,100,100
MasTec Inc.,10,10
Mastercard,100,100
Mathematica Policy Research,100,100
Mattel Inc.,100,100
Mayer Brown LLP,100,100
McCarter & English LLP,85,80
McCormick & Company Inc.,90,90
McDermott Will & Emery LLP,100,100
McDonald's Corp.,100,100
McGraw Hill LLC,100,95
McGuireWoods LLP,95,95
McKesson Corp.,100,100
McKinsey & Co. Inc.,100,100
Medallia Inc.,100,100
Medidata Solutions Inc.,100,100
Medtronic PLC,100,100
Meijer Inc.,100,100
Mercedes-Benz Financial Services USA LLC (MBFS),90,85
Merck,100,100
Meredith Corp.,85,90
Mesirow Financial Holdings Inc.,100,100
MetLife Inc.,100,100
MGM Resorts International,100,100
Michael Best & Friedrich LLP,100,100
Michael Page International Inc,100,100
"Michaels Companies Inc., The",55,55
Micron Technology Inc.,100,85
Microsoft Corp.,100,100
Milbank LLP,90,90
"Mintz, Levin, Cohn, Ferris, Glovsky & Popeo PC",100,100
Mitchell Gold + Bob Williams,100,100
Mohawk Industries Inc.,0,30
Molina Healthcare Inc.,40,40
Molson Coors Brewing,100,100
Mondelez International Inc.,100,100
Montgomery McCracken Walker & Rhoads LLP,100,100
Moody's Corp.,100,100
Moore & Van Allen PLLC,100,100
Morgan Stanley,100,100
"Morgan, Lewis & Bockius LLP",100,100
Morningstar Inc.,100,100
"Morris, Manning & Martin LLP",100,100
Morrison & Foerster LLP,100,100
Mosaic Co.,50,60
Motorola Solutions Inc.,100,100
Mozilla Corporation,95,95
MSLGROUP Americas,100,100
"MUFG Union Bank, N.A.",100,100
"Munger, Tolles & Olson LLP",100,100
Murphy USA,0,20
Mutual of Omaha Insurance,90,90
NASDAQ Inc.,100,100
National Cable Communications LLC dba Ampersand,70,
National CineMedia Inc.,100,100
National Grid USA,100,100
National Oilwell Varco Inc.,10,10
Nationwide,100,100
Navient,90,90
NCR Corp.,100,100
Nelson Mullins Riley & Scarborough LLP,75,75
Nestlé Health Science,100,100
Nestlé Purina PetCare Co.,100,100
Nestlé USA Inc.,100,100
Nestlé Waters North America Inc.,100,100
NetApp Inc.,90,90
Netflix Inc.,100,100
Neuberger Berman Group LLC,100,
New Belgium Brewing Company,100,
New Relic Inc.,95,95
New York Life Insurance Company,100,100
New York Times Co.,65,65
Newell Brands Inc.,100,60
Newmont Corp.,100,75
News Corp.,10,20
NextEra Energy Inc.,50,50
NFP,70,70
NGL Energy Partners,0,0
Nielsen,100,100
Nike Inc.,100,100
NiSource Inc.,90,90
Nissan North America Inc.,90,90
Nixon Peabody LLP,100,100
Nokia Inc.,100,95
Nomura,100,100
Nordstrom Inc.,100,100
Norfolk Southern Corp.,75,75
North Highland,95,
North Memorial Health,90,90
Northern Trust Corp.,100,100
"Northfield Park Associates, LLC",55,55
Northrop Grumman Corp.,100,100
Northwestern Mutual Life Insurance,100,100
Norton Rose Fulbright,100,100
NortonLifeLock,100,100
Novartis Pharmaceuticals Corp.,100,100
Novo Nordisk Inc.,95,95
NRG Energy Inc.,85,65
Nuance Communications,100,100
Nucor Corp.,0,20
nVent Electric PLC,75,
NVIDIA Corp.,100,100
NVR Inc.,20,0
Oaktree Capital Management LP,70,
Occidental Petroleum,20,20
Ocean Spray Cranberries Inc.,100,100
Office Depot Inc.,100,100
"Ogilvy Group Inc., The",100,100
"Ogletree, Deakins, Nash, Smoak & Stewart",100,100
O-I Glass,50,20
Old National Bank,90,90
Old Republic International,20,20
Olin Corporation,20,20
O'Melveny & Myers LLP,100,100
Omnicom Group,100,100
ON Semiconductor Corp.,65,20
ONE Gas Inc.,40,40
ONEOK Inc.,100,95
Oracle Corp.,100,100
O'Reilly Automotive Inc.,0,20
"Orrick, Herrington & Sutcliffe LLP",100,100
Oscar Insurance Corporation,95,95
Oshkosh Corp.,70,65
Otis Worldwide Corporation,100,
Overstock.com Inc.,80,80
Owens Corning,100,100
Paccar Inc.,20,20
Pacific Life Insurance Co.,95,85
Packaging Corporation of America,20,20
Palo Alto Networks,100,100
Panera Bread Co.,85,90
Papa John's International Inc.,100,90
Parexel International Corp.,80,80
Pariveda Solutions Inc.,95,95
Parker Hannifin Corp.,20,20
Parsons Corporation,95,80
Patagonia Inc.,100,95
Patterson Belknap Webb & Tyler LLP,100,100
Patterson Companies (Patterson Dental Supply),40,40
Paul Hastings LLP,100,100
"Paul, Weiss, Rifkind, Wharton & Garrison LLP",90,90
PayPal Holdings Inc.,100,100
PBF Energy,20,20
Peabody,75,50
Peapod Digital Labs LLC,100,100
Pearson,100,100
Peloton Interactive Inc.,100,100
Penske Automotive Group Inc.,20,20
PepsiCo Inc.,100,100
Performance Food Group Co.,20,20
Perkins and Will Inc.,100,100
Perkins Coie LLP,100,100
Pernod Ricard USA LLC,100,100
